#Total Luminosity	Mean  err on L	Disc scale length	Total HI mass	HI radius at 1 Msun/pc2
0.289	0.009	0.45	0.288	5.59
50.302	0.695	3.09	3.738	19.05
0.501	0.015	1.72	0.32	4.75
68.614	1.769	4.28	19.078	39.72
282.926	2.345	6.97	33.428	60.35
0.336	0.017	1.04	0.318	5.45
1.741	0.053	1.8	1.196	9.58
374.322	3.792	5.93	13.335	43.44
12.101	0.212	2.75	2.605	16.66
0.97	0.047	2.08	1.977	12.99
150.028	0.553	2.44	0.888	9.26
139.571	3.214	7.38	35.556	59.01
1.301	0.03	2.42	1.744	12.6
1.667	0.048	1.98	3.66	17.41
0.194	0.007	1.72	0.062	1.83
0.14	0.005	1.18	0.263	4.37
0.012	0	0.83	0.067	2.08

